BreweryInWAList,Brewery,4,8,12,2,1,7,6,3,5,11,10,9,total
counterbalance brewing company,COUNTERBALANCE BREWING COMPANY,39.02,37.41,0.0,40.84,27.28,28.46,42.68,39.74,36.39,0.0,13.58,25.27,330.66999999999996
cowiche creek brewing company,COWICHE CREEK BREWING COMPANY,96.99,117.11,5.17,37.5,59.66,36.0,46.0,48.5,43.49,16.0,31.67,69.66,607.7499999999999
crane's castle brewing company,CRANES CASTLE BREWING,8.33,9.38,8.04,7.78,7.2,9.95,9.47,10.53,9.7,7.53,9.5,7.7,105.11000000000001
crooked label brewing company,CROOKED LABEL BREWING COMPANY,6.0,12.0,9.0,6.0,6.0,9.0,9.0,6.0,6.0,12.0,12.0,12.0,105.0
crossbuck brewing,WALLA WALLA STEAK CO/CROSS BUCK BREWING,22.11,103.23,21.77,10.34,16.69,42.34,0.0,18.87,21.68,12.47,20.7,26.51,316.71
crossed arrows brewery,CROSSED ARROWS BREWERY,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
crucible brewing company,CRUCIBLE BREWING COCRUCIBLE BREWING CO.,131.26,92.25,263.27,110.51,49.92,212.22,0.0,133.32999999999998,167.38,67.28,0.0,90.06,1317.48
cursed brewing,CURSED BREWING,0.0,0.0,-3.06,0.0,0.0,0.0,0.0,0.0,0.0,4.78,4.78,0.0,6.5
darach brewing company,DARACH BREWING COMPANY,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
decibel brewing company,DECIBEL BREWING CO,0.0,0.0,4.52,6.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.54
deep draft brewing,DEEP DRAFT BREWING,15.57,21.93,10.34,14.26,12.13,25.46,23.17,18.58,19.88,17.06,16.5,20.99,215.87
diamond knot brewing company,DIAMOND KNOT BREWING COM.DIAMOND KNOT BREWPUB @ MLT,296.93,370.69,183.75,214.13,207.84,274.73,308.92,375.71,367.95,311.28000000000003,282.43,279.6,3473.9599999999996
dick's brewing company,DICKS BREWING COMPANY,135.35,0.0,32.27,89.05,208.76,0.0,101.57,0.0,0.0,91.68,0.0,197.75,856.4300000000001
dirty couch brewing,DIRTY COUCH BREWING,33.12,0.0,0.0,0.0,0.0,0.0,17.28,0.0,0.0,61.86,0.0,0.0,112.25999999999999
discovery bay brewing,DISCOVERY BAY BREWING,10.45,13.36,6.3,6.56,7.1,14.37,11.19,9.29,11.77,4.74,9.48,11.2,115.81
district brewing,DISTRICT BREWING,71.86,96.51,63.05,30.38,25.36,103.2,139.61,118.03,72.95,113.79,82.53,66.87,984.14
doghaus brewery,DOGHAUS BREWERY,9.0,17.25,7.0,10.25,3.75,13.25,17.25,5.75,11.5,4.25,14.0,16.25,129.5
doomsday brewing company,DOOMSDAY BREWING COMPANY,33.5,41.5,27.0,30.5,31.0,36.5,37.5,39.0,31.0,32.0,32.0,34.0,405.5
double bluff brewing company,DOUBLE BLUFF BREWING,14.03,14.35,6.77,9.35,8.23,16.94,12.58,14.84,14.03,12.1,11.29,12.42,146.92999999999998
downpour brewing,DOWNPOUR BREWING,12.0,12.0,0.0,21.0,0.0,0.0,15.0,12.0,12.0,24.0,0.0,24.0,132.0
dreadnought brewing,DREADNOUGHT BREWING,0.0,0.0,0.0,4.0,4.5,8.5,0.0,5.5,9.5,9.0,0.0,8.5,49.5
dru bru,DRU BRU,302.57000000000005,466.01,365.75,302.96,206.37,433.26,442.43,337.66,327.28999999999996,360.73,314.67,519.14,4378.84
dubtown brewing company,DUBTOWN BREWING COMPANY,14.5,19.0,9.5,19.0,5.0,4.5,9.5,4.5,19.0,19.0,14.5,5.0,143.0
dunagan irish pub and brewery,DUNAGAN BREWING CO.,4.5,0.0,0.0,0.0,0.0,3.0,0.0,5.5,0.0,0.0,6.0,0.0,19.0
dungeness brewing company,DUNGENESS BREWING COMPANY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.6
dwinell country ales,DWINELL COUNTRY ALE,8.1,17.94,0.41,10.8,1.52,6.8,6.24,6.26,7.28,4.52,7.81,8.3,85.97999999999999
dystopian state brewing company,DYSTOPIAN STATE BREWING CO.,0.0,45.1,25.8,0.0,50.5,0.0,0.0,7.8,40.4,0.0,0.0,0.0,169.6
e2w brewing,E2W BREWING,2.0,0.0,0.0,2.42,1.75,0.0,4.85,3.09,0.0,0.0,0.0,0.0,14.11
e9 brewing company,E9 BREWING CO,225.03,232.84,232.3,187.39,142.89,218.46,230.98,221.89,208.38,192.9,180.98,1160.95,3434.99
echoes brewing company,ECHOES BREWING COMPANY LLC,28.83,47.59,31.84,16.83,17.85,38.18,34.09,35.91,31.35,40.55,43.83,39.53,406.38
elk head brewing company,ELK HEAD BREWING,30.83,28.1,29.31,26.69,21.29,32.03,28.77,30.25,26.7,25.19,24.41,29.58,333.15000000000003
elliott bay brewing company,ELLIOTT BAY BREWHOUSE & PUBELLIOTT BAY PUBLIC HOUSE & BREWERYELLIOTT BAY BREWERY & PUB,157.62,122.91999999999999,116.56,105.9,95.7,95.1,176.54,133.0,87.10000000000001,95.73,74.3,103.38,1363.85
elysian brewing,ELYSIAN BREWING COMPANY,2182.4,1545.98,732.5,780.65,874.69,1211.8,947.41,-101.03,1447.5,507.17,1627.5,1207.3,12963.87
everybody's brewing,EVERYBODYS BREWING,278.26,409.67,187.26,200.68,184.47,284.98,313.73,320.71,295.38,276.42,206.14,313.55,3271.2500000000005
explorer brewing company,EXPLORER BREWING COMPANY,8.91,12.71,18.86,8.75,8.2,11.2,10.03,10.56,7.98,0.0,6.46,12.38,116.03999999999999
fair isle brewing,FAIR ISLE BREWING,42.56,61.92,25.05,20.99,35.06,36.94,104.07,50.87,33.26,52.3,46.95,0.0,509.97
farmstrong brewing company,FARMSTRONG BREWING COMPANY,104.67,213.71,378.68,73.98,85.7,154.8,163.76,153.2,165.96,0.0,0.0,0.0,1494.46
fast fashion beer,FAST FASHION,70.0,0.0,40.0,48.0,75.0,30.0,48.0,0.0,28.0,42.0,0.0,80.0,461.0
fathom and league hop yard brewery,FATHOM & LEAGUE HOP YARD BREWERY,0.25,1.5,1.0,0.5,0.0,1.0,0.0,0.5,1.0,0.0,2.58,0.25,8.58
fermentation initiative,FERMENTATION INITIATIVE,0.0,5.0,7.0,0.0,0.0,4.0,5.0,0.0,4.0,0.0,9.0,0.0,34.0
figurehead brewing company,FIGUREHEAD BREWING COMPANY,52.72,31.75,11.58,19.51,19.0,25.23,31.77,0.0,21.85,22.37,33.09,23.67,292.54
fired up brewing,FIRED UP BREWING,0.0,0.0,12.23,16.1,14.51,12.82,23.74,12.82,29.24,7.56,18.53,31.2,178.74999999999997
five dollar ranch brewing company,FIVE DOLLAR RANCH BREWING COMPANY,9.9,16.16,17.67,9.58,10.04,17.3,15.06,14.35,12.6,12.34,14.31,17.22,166.53
five dons brewing,FIVE DONS BREWING,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5
floodland brewing,FLOODLAND BREWING COMPANY,0.0,0.0,0.0,0.0,0.0,31.26,0.0,42.03,54.9,0.0,39.1,35.1,202.39
flyers restaurant and brewery,FLYERS RESTAURANT AND BREWERY,0.0,61.5,0.0,62.25,0.0,0.0,68.5,0.0,0.0,55.5,0.0,0.0,247.75
flying bike cooperative brewery,FLYING BIKE COOPERATIVE BREWERY,38.75,66.16,0.0,66.53,22.5,38.75,0.0,33.14,25.67,23.08,72.64,0.0,387.21999999999997
flying lion brewing,FLYING LION BREWING,27.27,51.75,33.11,39.64,29.26,32.64,49.07,25.64,58.92,59.75,38.03,54.11,499.19000000000005
foggy noggin brewing,FOGGY NOGGIN BREWING,1.34,2.0,3.0,4.0,3.17,5.84,1.83,4.83,3.0,1.67,3.0,3.0,36.68
for the love of god brewing,FOR THE LOVE OF GOD BREWING,10.0,14.0,6.0,5.0,7.0,12.0,10.0,10.0,19.0,11.0,10.0,14.0,128.0
formula brewing,FORMULA BREWING,91.5,55.81,52.71,0.0,49.0,110.65,74.67,129.1,54.52,7.0,127.34,0.0,752.3
fortside brewing company,FORTSIDE BREWING COMPANY,97.03,116.03,37.66,66.6,59.59,96.34,105.45,75.23,72.1,63.78,123.88,74.39,988.08
forward operating base brewing company,FOB BREWING COMPANY,0.0,8.0,0.0,25.0,0.0,0.0,11.0,0.0,0.0,25.0,0.0,0.0,69.0
four generals brewing,FOUR GENERALS BREWING,16.32,21.64,11.83,16.87,17.76,18.26,23.47,16.4,22.09,14.2,15.45,17.28,211.57
four horsemen brewery,FOUR HORSEMEN BREWERY,7.39,11.0,0.0,3.97,3.1,0.0,13.0,-16.26,0.0,4.0,6.0,0.0,32.2
four-eyed guys brewing company,FOUR-EYED GUYS BREWING CO.,11.82,11.33,15.67,15.5,8.5,7.1,25.3,13.16,0.0,19.67,0.0,16.67,144.72000000000003
fremont brewing company,FREMONT BREWINGFREMONT BREWING COMPANY,2529.5499999999997,2729.31,3203.7400000000002,2138.85,2432.57,2713.02,3071.87,2791.8199999999997,2605.31,2426.9900000000002,2046.0500000000002,2815.2200000000003,31504.3
fringe brewing,FRINGE BREWING,20.0,20.25,18.5,32.0,6.5,7.4,32.5,19.5,33.5,38.5,26.5,27.5,282.65
future primitive brewing,FUTURE PRIMITIVE BREWING,0.0,90.08,92.96,74.43,93.77,92.88,147.89,123.34,249.19,73.7,84.91,153.97,1277.1200000000001
gallaghers where u brew,GALLAGHERS WHERE U BREW,14.24,3.07,17.93,31.23,0.0,3.77,18.23,16.58,0.0,18.06,35.99,17.68,176.78000000000003
garden path fermentation,GARDEN PATH FERMENTATION,4.46,7.24,3.2,3.13,2.96,7.84,6.62,10.68,6.45,4.09,2.87,6.79,66.33
garland brew werks,GARLAND BREW WERKS,0.0,0.0,28.99,0.0,13.59,34.1,0.0,43.5,57.44,0.0,54.73,0.0,232.35
geaux brewing,GEAUX BREWING,0.0,37.59,0.0,21.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.85000000000001
genus brewing,GENUS BREWING & SUPPLY,6.45,5.82,4.11,5.78,5.82,6.86,6.77,8.3,5.54,3.92,5.9,6.34,71.61
georgetown brewing company,GEORGETOWN BREWING CO.,8672.18,10193.51,7380.14,6503.01,6409.97,8722.62,9571.99,8538.23,8855.93,9315.17,8985.2,9227.2,102375.14999999998
ghost runners brewery,GHOST RUNNERS BREWERY,23.81,23.6,16.89,18.49,18.35,19.99,23.1,25.44,24.85,18.67,26.82,23.73,263.74
ghostfish brewing company,GHOSTFISH BREWING COMPANY,144.68,168.36,156.32,150.56,97.63,176.19,198.79,107.58,158.43,140.69,161.31,223.38,1883.92
gig harbor brewing,GIG HARBOR BREWING COMPANY,39.4,0.0,34.0,36.6,0.0,0.0,36.7,0.0,25.67,0.0,28.0,90.5,290.87
golden handle brewing company,GOLDEN HANDLE PROJECT S.P.C.,0.0,17.0,7.33,1.17,0.75,1.0,0.0,0.0,0.0,6.92,6.17,4.5,44.84
