brewery,satellite_location,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,production_data_2017,production_data_2022,closed_since_2022,untappd_profile_link
Chief Spring's Fire and Irons Brewpub,,micro,148 E Main St,Dayton,99328,Columbia,46.31924865,-117.98133480,2013,1,1,1,0,https://untappd.com/ChiefSpringsFireIronsBrewpub
Chuckanut Brewery,,taproom,11937 Higgins Airport Way,Burlington,98233,Skagit,48.47346346,-122.41195843,2008,1,1,1,0,https://untappd.com/ChuckanutBrewery
Cloudburst Brewing,Western Ave,taproom,2116 Western Ave,Seattle,98121,King,47.61141494,-122.34499730,2015,1,1,1,0,https://untappd.com/CloudburstBrewing
Cloudburst Brewing,Shilshole Ave,taproom,5456 Shilshole Ave Nw,Seattle,98107,King,47.66770921,-122.38633870,2015,1,1,1,0,https://untappd.com/CloudburstBrewing
Cole Street Brewery,,brewpub,2551 Cole Street-Suite R,Enumclaw,98022,King,47.20387960,-121.98903000,2014,0,1,1,0,https://untappd.com/ColeStreetBreweryEnumclaw
Columbia Valley Brewing Company,,brewpub,538 Riverside Dr,Wenatchee,98801,Chelan,47.43298100,-120.31368800,2011,0,0,1,0,https://untappd.com/ColumbiaValleyBrewery
Cowiche Creek Brewing Company,,micro,514 Thompson Rd,Cowiche,98923,Yakima,46.65831896,-120.68341420,2018,1,1,0,0,https://untappd.com/CowicheCreek
Craft Brewing Academy/Skagit Valley College,,taproom,2405 East College Way,Mount Vernon,98273,Skagit,48.43776310,-122.35044800,1996,0,1,1,0,https://untappd.com/CardinalCraftBrewing
Crane's Castle Brewing Company,,taproom,1550 NE Riddell Rd Suite #180,Bremerton,98310,Kitsap,47.60686000,-122.62818190,2018,0,0,1,0,https://untappd.com/CranesCastleBrewing
Crooked Label Brewing Company,,brewpub,773 Village Way,Monroe,98272,Snohomish,47.85033100,-121.98083000,2021,0,0,1,0,https://untappd.com/w/crooked-label-brewing-company/487482
Crossbuck Brewing,,micro,410 N 2nd Ave,Walla Walla,99362,Walla Walla,46.07018805,-118.34207100,2018,1,0,1,0,https://untappd.com/xbuckbrewing
Crossed Arrows Brewery,,taproom,14004 Purdy Dr Gig harbor,Gig Harbor,98332,Pierce,47.38537630,-122.62921020,2019,0,0,1,0,https://untappd.com/Crossed_Arrows_Brewery
