brewery,satellite_location,flagship,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,production_data_2017,production_data_2022,closed_since_2022,untappd_profile_link,rating,total_visits,unique_visits,monthly_visits
Natural 20 Brewing Company,,1,micro,15310 E Marietta Ave Ste 4,Spokane Valley,99216,Spokane,47.680793,-117.198498,2014,0,0,1,0,https://untappd.com/Natural20BrewingCo,3.85,2971.0,643.0,40.0
No Boat Brewing Company,,1,taproom,35214 SE Center Street #2,Snoqualmie,98065,King,47.5285744,-121.8707445,2016,1,1,0,0,https://untappd.com/NoBoatBrewingCompany,3.76,17748.0,5770.0,149.0
No Drought Brewing Company,,1,regional,10604 E 16th Ave,Spokane Valley,99206,Spokane,47.64233504,-117.2626058,2022,0,0,1,0,https://untappd.com/NoDroughtBrewingCo,3.78,698.0,209.0,9.0
No-Li Brewhouse,,1,taproom,1003 E Trent Box 2 Suite 180,Spokane,99202,Spokane,47.662698,-117.39419,2003,1,1,1,0,https://untappd.com/NoLiBrewhouse,3.66,211534.0,72421.0,317.0
North 47 Brewing Company,,1,brewpub,1000 Town Ctr NE #160,Tacoma,98422,Pierce,47.30098342,-122.4354485,2015,0,1,1,0,https://untappd.com/North47BrewingCo,3.65,4211.0,1345.0,13.0
North Fork Brewery,,1,taproom,6186 Mount Baker Hwy,Deming,98244,Whatcom,48.89023277,-122.1515053,1997,1,0,1,0,https://untappd.com/TheNorthForkBrewery,3.89,10866.0,3203.0,71.0
North Jetty Brewing,,1,taproom,4200 Pacific Way,Seaview,98017,King,46.33317158,-124.0546726,2014,1,1,1,0,https://untappd.com/NorthJettyBrewing,3.79,31191.0,10395.0,77.0
North Sound Brewing Company,,1,brewpub,17406 Washington 536,Mount Vernon,98273,Skagit,48.431553,-122.3702,2010,1,1,0,0,https://untappd.com/NorthSoundBrewingCompany,3.72,14609.0,5008.0,20.0
Northern Ales,,1,brewpub,325 W 3rd Ave,Kettle Falls,99141,Stevens,48.61016972,-118.059909,2014,0,1,1,1,https://untappd.com/NorthernAles,3.5,2218.0,991.0,0.0
Northwest Brewing Company,,1,micro,610 Pacific Ave,Tacoma,98402,King,47.25788663,-122.4401044,2007,0,0,0,0,https://untappd.com/NorthwestBrewingCompany,3.52,65893.0,33187.0,59.0
