brewery,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,closed_since_2022,untappd_profile_link,January,February,March,April,May,June,July,August,September,October,November,December,total_annual
BreakThru Brewing Company,taproom,8611 S 212th St,Kent,98031,King,47.411994,-122.2249666,2021,1,0,https://untappd.com/BreakThruBrewingCompany,15.0,11.5,7.75,4.0,8.0,4.5,4.5,12.0,11.5,11.0,8.0,10.0,107.75
Brewbakers Brewing Company,micro,11927 84th St Ne,Lake Stevens,98258,Snohomish,48.07243446,-122.0676933,2015,0,0,https://untappd.com/w/brewbakers-brewery-wa/219768,1.5,2.5,1.5,1.5,2.0,1.5,3.0,2.0,2.0,3.0,1.0,1.0,22.5
Brick West Brewing Company,brewpub,1318 West 1St Ave Ste 1,Spokane,99201,Spokane,47.6565999,-117.4314751,2020,1,0,https://untappd.com/BrickWestBrewing,153.33,110.65,201.44,154.67,182.94,223.45,184.62,154.63,193.33,198.86,113.69,163.09,2034.7
Bron Yr Aur Brewing Company,micro,12160 Us Hwy 12,Naches,98937,Yakima,46.7386529,-120.73932,2015,0,0,https://untappd.com/BronYrAurBrew,20.17,20.17,27.5,21.75,25.92,26.7,28.44,32.02,24.14,24.04,10.32,18.54,279.71000000000004
Brother Ass Brewing,taproom,11700 NE 54Th Ct,Vancouver,98686,Clark,45.70626635,-122.6172247,2015,0,0,https://untappd.com/BrotherAssBrewing,4.29,14.37,8.7,3.02,7.03,8.65,6.33,7.39,5.91,4.28,7.33,4.53,81.83
Brothers Cascadia Brewing,taproom,9811 NE 15th Ave,Vancouver,98665,Clark,45.69223,-122.655954,2017,0,0,https://untappd.com/BrothersCascadia,98.21,127.43,115.64,155.46,195.27,124.47,105.48,72.43,98.12,84.7,92.9,72.81,1342.92
Bugu Brewing Company,taproom,14751 N Kelsey St Suite 107,Monroe,98272,Snohomish,47.8640911,-121.975192,2021,1,0,https://untappd.com/BuguBrewing,1.65,3.44,2.46,4.94,3.94,4.27,7.88,11.49,4.29,4.05,4.06,5.7,58.17
Burke-Gilman Brewing Company,taproom,3626 NE 45th St #102,Seattle,98105,King,47.6614658,-122.288056,2018,1,0,https://untappd.com/BurkeGilmanBrewingCompany,34.2,33.1,155.47,277.84,28.7,56.0,83.3,67.4,51.5,57.4,37.65,17.9,900.4599999999999
Burwood Brewing Company,micro,1120 E St,Walla Walla,99362,Walla Walla,46.0933964,-118.2659,2014,1,0,https://untappd.com/BurwoodBrewingCompany,30.95,38.49,46.22,44.54,51.73,72.16,46.96,49.02,56.25,36.3,39.67,34.09,546.38
Byron Street Brewery,taproom,3388 NW Byron Street Suite 101,Silverdale,98383,Kitsap,47.6447357,-122.6956894,2022,0,0,https://untappd.com/w/byron-street/529245,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.67,2.5,5.5,4.0,2.5,17.0
