index,brewery_wa,brewery_prod,month,production
1180,ashtown brewing company,ASHTOWN BREWING COMPANY,April,8.32
1568,ashtown brewing company,ASHTOWN BREWING COMPANY,May,7.43
1956,ashtown brewing company,ASHTOWN BREWING COMPANY,June,
2344,ashtown brewing company,ASHTOWN BREWING COMPANY,July,16.94
2732,ashtown brewing company,ASHTOWN BREWING COMPANY,August,8.3
3120,ashtown brewing company,ASHTOWN BREWING COMPANY,September,
3508,ashtown brewing company,ASHTOWN BREWING COMPANY,October,16.11
3896,ashtown brewing company,ASHTOWN BREWING COMPANY,November,7.31
4284,ashtown brewing company,ASHTOWN BREWING COMPANY,December,8.36
4672,ashtown brewing company,ASHTOWN BREWING COMPANY,total_annual,101.46000000000002
17,aslan brewing company,ASLAN BREWING COMPANY,January,362.67
405,aslan brewing company,ASLAN BREWING COMPANY,February,329.33
793,aslan brewing company,ASLAN BREWING COMPANY,March,483.91
1181,aslan brewing company,ASLAN BREWING COMPANY,April,472.59
1569,aslan brewing company,ASLAN BREWING COMPANY,May,394.46
1957,aslan brewing company,ASLAN BREWING COMPANY,June,557.23
2345,aslan brewing company,ASLAN BREWING COMPANY,July,502.5
2733,aslan brewing company,ASLAN BREWING COMPANY,August,624.47
3121,aslan brewing company,ASLAN BREWING COMPANY,September,356.63
3509,aslan brewing company,ASLAN BREWING COMPANY,October,366.27
3897,aslan brewing company,ASLAN BREWING COMPANY,November,404.17
4285,aslan brewing company,ASLAN BREWING COMPANY,December,360.64
4673,aslan brewing company,ASLAN BREWING COMPANY,total_annual,5214.87
18,at large brewing,AT LARGE BREWING AND TAPROOM,January,13.84
406,at large brewing,AT LARGE BREWING AND TAPROOM,February,14.67
794,at large brewing,AT LARGE BREWING AND TAPROOM,March,15.5
1182,at large brewing,AT LARGE BREWING AND TAPROOM,April,28.0
1570,at large brewing,AT LARGE BREWING AND TAPROOM,May,12.83
1958,at large brewing,AT LARGE BREWING AND TAPROOM,June,21.33
2346,at large brewing,AT LARGE BREWING AND TAPROOM,July,21.16
2734,at large brewing,AT LARGE BREWING AND TAPROOM,August,25.33
3122,at large brewing,AT LARGE BREWING AND TAPROOM,September,10.0
3510,at large brewing,AT LARGE BREWING AND TAPROOM,October,11.34
3898,at large brewing,AT LARGE BREWING AND TAPROOM,November,12.17
4286,at large brewing,AT LARGE BREWING AND TAPROOM,December,13.02
4674,at large brewing,AT LARGE BREWING AND TAPROOM,total_annual,199.19
19,atomic ale brewpub and eatery,ATOMIC ALE BREWPUB & EATERY,January,11.5
407,atomic ale brewpub and eatery,ATOMIC ALE BREWPUB & EATERY,February,22.4
795,atomic ale brewpub and eatery,ATOMIC ALE BREWPUB & EATERY,March,16.0
1183,atomic ale brewpub and eatery,ATOMIC ALE BREWPUB & EATERY,April,14.2
1571,atomic ale brewpub and eatery,ATOMIC ALE BREWPUB & EATERY,May,
1959,atomic ale brewpub and eatery,ATOMIC ALE BREWPUB & EATERY,June,30.3
2347,atomic ale brewpub and eatery,ATOMIC ALE BREWPUB & EATERY,July,12.0
2735,atomic ale brewpub and eatery,ATOMIC ALE BREWPUB & EATERY,August,
3123,atomic ale brewpub and eatery,ATOMIC ALE BREWPUB & EATERY,September,22.6
3511,atomic ale brewpub and eatery,ATOMIC ALE BREWPUB & EATERY,October,
3899,atomic ale brewpub and eatery,ATOMIC ALE BREWPUB & EATERY,November,36.55
